# schema=sow-migration-family-e2e/v1
family	dispositions	coverage	evidence	boundary
Y03	sow-cli	local-cli	TestInitAdoptContentPigstyV1SuiteNestedAPTAndFlatYUM,TestInitAdoptContentSynthetic33RepoGeneralization	real YUM parser plus frozen EL7 gzip and EL8-10 synthetic selector-generalization; modulemd is excluded
Y04	sow-cli	local-cli	TestSyncYUMEndToEndPreservesCanonicalProvenanceAndNeverDeletes,TestInitAdoptContentPigstyV1SuiteNestedAPTAndFlatYUM	loopback upstream sync and real YUM materialization
Y05	policy-reject	disposition-contract	contract:policy-reject	in-place RPM resign is forbidden by FR-17
Y06	policy-reject	disposition-contract	contract:policy-reject	full-tree RPM resign is forbidden by FR-17
D01	retire	disposition-contract	contract:retire	Docker help is retired and not equated with sow help
D02	retire	disposition-contract	contract:retire	container lifecycle is outside SOW
D03	retire	disposition-contract	contract:retire	container diagnostics are not repository verification
D04	retire	disposition-contract	contract:retire	arbitrary container shell access is forbidden
D05	policy-reject	disposition-contract	contract:policy-reject	container signing wrappers inherit the FR-17 rejection
D06	sow-cli	local-cli	TestRPMAddBuildsSignedZstdRepositoryFromExternalPackage,TestSyncYUMEndToEndPreservesCanonicalProvenanceAndNeverDeletes,TestInitAdoptContentPigstyV1SuiteNestedAPTAndFlatYUM,TestInitAdoptContentSynthetic33RepoGeneralization	native RPM add sync and synthetic selector-generalization materialize replace container build wrappers; not old multi-major physical-topology proof
D07	retire	disposition-contract	contract:retire	container psql is unrelated to repository management
